"code","name","high","low","close","volume","change","direction","price","sector","industry","pe_ratio","peg_ratio","eps","divyield","ptb","pts","ebitda","shares","market_cap","52wk_range"
"A","Agilent Technologies","157.9","155.1","156.5","750,025","0.2","","0.15","Capital Goods","Electrical Products","35.05","2.73","1.94","0.78","4.73","4.96","1.02B","321.76M","50.28B","112.47 - 179.57"
"AA","Alcoa Corp","50.04","47.20","48.14","3,585,661","-0.66","","1.35","Capital Goods","Metal Fabrications","54.51","N/A","0.88","1.25","1.52","0.87","1.60B","184.30M","8.99B","17.30 - 57.57"
"AAC","Ares Acquisition Corp Cl A","9.800","9.780","9.790","794,192","0.000","","0.00","","","N/A","0.82","N/A","N/A","1.2","0.75","30.06M","24.06M","235.54M","0.32 - 3.64"
"AAC.U","Ares Acquisition Corp Units","9.990","9.960","9.980","28,554","-0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AAC.W","Ares Acquisition Corp WT","1.0800","0.9900","1.0000","22,997","-0.0600","","5.66","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AAI-B","Arlington Asset Investment Corp","25.03","24.88","25.01","4,695","0.06","","0.24","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20.81 - 25.50"
"AAI-C","Arlington Asset Investment Corp","25.65","25.57","25.65","1,103","0.15","","0.59","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20.50 - 25.96"
"AAIC","Arlington Asset Investment Corp","3.680","3.650","3.670","89,389","-0.020","","0.54","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3.50 - 4.42"
"AAIN","Arlington Asset Investment Corp 6.000%","24.60","24.55","24.60","3,403","-0.07","","0.26","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AAN","Aarons Holdings Company","24.24","23.46","23.82","160,080","-0.53","","2.18","Technology","Diversified Commercial Services","20.11","1.38","1.95","0.26","1.94","0.93","477.02M","70.77M","1.72B","16.20 - 37.49"
"AAP","Advance Auto Parts Inc","239.8","233.0","235.4","571,190","-4.6","","1.92","Consumer Services","Other Specialty Stores","16.36","1.52","5.01","0.28","2.02","0.67","960.52M","73.84M","17.73B","143.15 - 243.05"
"AAQ.U","Accelerate Acquisition Corp [Aaqc.U]","10.02","9.99","10.02","99,915","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AAQ.W","Accelerate Acquisition Corp WT [Aaqc/W]","0.9400","0.8600","0.8700","20,851","-0.0700","","7.45","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AAQC","Accelerate Acquisition Corp Cl A","9.750","9.720","9.750","121,698","0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AAT","American Assets Trust","35.95","34.86","35.87","149,878","0.11","","0.31","Consumer Services","Real Estate Investment Trusts","59.91","20.97","0.66","2.66","2.19","6.15","168.82M","47.18M","1.69B","27.15 - 40.83"
"AB","Alliancebernstein Holding LP","50.81","49.80","50.32","268,898","-0.62","","1.22","Finance","Investment Managers","12.08","1.07","2.18","7.86","1.68","10.45","N/A","93.54M","4.76B","31.76 - 57.54"
"ABB","Abb Ltd ADR","36.86","36.67","36.78","795,130","0.05","","0.14","Consumer Durables","Electrical Products","24.43","2.74","1.04","3","4.05","1.62","4.26B","2.13B","78.38B","26.61 - 38.03"
"ABBV","Abbvie Inc","127.7","125.2","127.3","5,181,220","1.8","","1.43","","","22.61","1","4.07","2.86","23.76","5.35","11.57B","1.59B","200.02B","101.55 - 124.46"
"ABC","Amerisourcebergen Corp","123.5","121.0","123.0","257,341","-0.1","","0.11","Health Care","Other Pharmaceuticals","19.9","1.63","3.84","1.85","6.76","0.11","2.43B","219.17M","26.99B","94.89 - 129.55"
"ABEV","Ambev S.A. ADR","2.830","2.780","2.810","14,224,445","0.000","","0.00","","","26.74","6.79","0.24","2.52","6.62","7","5.62B","15.71B","44.14B","2.38 - 3.95"
"ABG","Asbury Automotive Group Inc","171.8","163.4","167.2","149,906","-5.3","","3.07","Consumer Durables","Automotive Aftermarket","7.92","0.82","7.69","N/A","4.05","0.2","326.10M","20.85M","3.60B","135.60 - 230.97"
"ABM","ABM Industries Inc","46.06","45.31","45.95","151,459","0.37","","0.81","Finance","Diversified Commercial Services","165.2","4.42","0.26","1.61","2.44","0.52","192.60M","65.03M","2.96B","36.31 - 55.48"
"ABR","Arbor Realty Trust","18.14","17.82","18.02","1,001,758","-0.14","","0.77","Consumer Services","Real Estate Investment Trusts","7.58","1.17","1.09","8.72","0.87","1.79","N/A","61.35M","1.11B","13.48 - 20.74"
"ABR-D","Arbor Realty Trust Inc","25.20","25.16","25.20","10,464","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ABR-E","Arbor Realty Trust Inc","25.08","25.08","25.08","558","-0.13","","0.50","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ABR-F","Arbor Realty Trust Inc","25.32","25.27","25.27","3,535","0.02","","0.08","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ABT","Abbott Laboratories","137.0","134.5","135.9","3,093,162","1.5","","1.13","Consumer Durables","Major Pharmaceuticals","77.55","1.87","0.71","1.91","3.05","4.08","5.14B","1.74B","233.45B","105.32 - 134.08"
"AC","Associated Capital Group Inc","39.80","38.01","39.42","1,760","0.42","","1.08","","","N/A","N/A","N/A","0.54","0.99","27.67","N/A","23.86M","930.69M","30.21 - 44.67"
"ACA","Arcosa Inc","55.76","54.68","55.14","131,161","0.09","","0.16","Finance","Diversified Investments","N/A","0.22","N/A","N/A","N/A","N/A","N/A","35.34M","1.95B","48.18 - 68.46"
"ACA.U","Atlantic Coastal Acquisition Corp","10.12","10.12","10.12","1,980","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACC","American Campus Communities Inc","55.43","54.24","55.29","520,460","0.86","","1.58","Consumer Services","Real Estate Investment Trusts","86.94","3.01","0.48","4.22","1.6","7.36","379.78M","136.41M","7.42B","40.01 - 55.55"
"ACCO","Acco Brands Corp","8.270","8.090","8.180","251,473","-0.050","","0.61","","","26","1.18","0.5","N/A","1.98","0.82","256.30M","108.81M","895.53M","7.72 - 9.77"
"ACD.U","Ascendant Digital Acquisition Corp III","10.11","10.10","10.10","160,200","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACEL","Accel Entertainment Inc","13.01","12.71","12.97","114,238","0.02","","0.15","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8.82 - 14.10"
"ACH","Aluminum Corp of China Ltd ADR","13.65","13.23","13.46","73,984","-0.27","","1.97","Basic Industries","Aluminum","81.08","N/A","0.25","N/A","2.22","0.45","2.06B","595.95M","8.18B","7.57 - 23.90"
"ACH.W","Archer Aviation Inc WT [Achr.W]","1.700","1.400","1.400","121,650","-0.170","","10.83","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACHR","Archer Aviation Inc","7.700","7.050","7.160","1,450,769","-0.150","","2.05","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACI","Albertsons Companies Inc Cl A","31.95","30.39","31.47","1,822,562","0.77","","2.51","Energy","Coal Mining","N/A","N/A","N/A","N/A","N/A","0.0063","373.00M","21.29M","653.46M","14.83 - 37.85"
"ACI.S","Atlas Crest Investment Corp II [Acii.U]","9.990","9.960","9.990","40,100","0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACI.T","Atlas Crest Investment Corp II WT","0.8700","0.8500","0.8700","18,249","-0.0200","","2.25","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
