"code","name","high","low","close","volume","change_absolute","direction","change_percent","sector","industry","pe_ratio","peg_ratio","eps","divyield","ptb","pts","ebitda","shares","market_cap","52wk_range"
"A","Agilent Technologies","155.7","150.1","151.9","1,869,000","-4.4","","2.82","Capital Goods","Electrical Products","35.05","2.73","1.94","0.78","4.73","4.96","1.02B","321.76M","50.28B","112.47 - 179.57"
"AA","Alcoa Corp","51.08","48.41","50.46","14,664,000","2.68","","5.61","Capital Goods","Metal Fabrications","54.51","N/A","0.88","1.25","1.52","0.87","1.60B","184.30M","8.99B","17.30 - 57.57"
"AAC","Ares Acquisition Corp Cl A","9.800","9.780","9.790","2,102,700","-0.010","","0.10","","","N/A","0.82","N/A","N/A","1.2","0.75","30.06M","24.06M","235.54M","0.32 - 3.64"
"AAC.U","Ares Acquisition Corp Units","9.980","9.960","9.960","27,500","-0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AAC.W","Ares Acquisition Corp WT","0.9699","0.9401","0.9500","58,800","-0.0052","","0.54","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AAI-B","Arlington Asset Investment Corp","25.05","25.03","25.05","400","0.04","","0.16","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20.81 - 25.50"
"AAI-C","Arlington Asset Investment Corp","25.65","25.57","25.65","1,100","0.15","","0.59","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20.50 - 25.96"
"AAIC","Arlington Asset Investment Corp","3.670","3.570","3.570","83,600","-0.070","","1.92","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3.50 - 4.42"
"AAIN","Arlington Asset Investment Corp 6.000%","24.55","24.42","24.55","4,600","-0.05","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AAN","Aarons Holdings Company","24.16","23.25","23.56","349,400","-0.06","","0.25","Technology","Diversified Commercial Services","20.11","1.38","1.95","0.26","1.94","0.93","477.02M","70.77M","1.72B","16.20 - 37.49"
"AAP","Advance Auto Parts Inc","236.3","233.2","235.4","791,600","1.3","","0.54","Consumer Services","Other Specialty Stores","16.36","1.52","5.01","0.28","2.02","0.67","960.52M","73.84M","17.73B","143.15 - 243.05"
"AAQ.U","Accelerate Acquisition Corp [Aaqc.U]","10.02","9.99","10.02","100,400","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AAQ.W","Accelerate Acquisition Corp WT [Aaqc/W]","0.9400","0.8600","0.8700","21,900","-0.0700","","7.45","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AAQC","Accelerate Acquisition Corp Cl A","9.740","9.710","9.720","471,900","-0.020","","0.21","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"AAT","American Assets Trust","35.88","34.83","35.01","321,300","-0.58","","1.63","Consumer Services","Real Estate Investment Trusts","59.91","20.97","0.66","2.66","2.19","6.15","168.82M","47.18M","1.69B","27.15 - 40.83"
"AB","Alliancebernstein Holding LP","49.90","47.70","48.36","544,600","-1.28","","2.58","Finance","Investment Managers","12.08","1.07","2.18","7.86","1.68","10.45","N/A","93.54M","4.76B","31.76 - 57.54"
"ABB","Abb Ltd ADR","36.85","35.96","36.18","1,345,900","-0.51","","1.39","Consumer Durables","Electrical Products","24.43","2.74","1.04","3","4.05","1.62","4.26B","2.13B","78.38B","26.61 - 38.03"
"ABBV","Abbvie Inc","127.9","125.4","127.3","6,379,400","0.8","","0.62","","","22.61","1","4.07","2.86","23.76","5.35","11.57B","1.59B","200.02B","101.55 - 124.46"
"ABC","Amerisourcebergen Corp","125.2","122.2","123.3","999,300","0.8","","0.64","Health Care","Other Pharmaceuticals","19.9","1.63","3.84","1.85","6.76","0.11","2.43B","219.17M","26.99B","94.89 - 129.55"
"ABEV","Ambev S.A. ADR","2.890","2.800","2.830","18,788,900","0.030","","1.07","","","26.74","6.79","0.24","2.52","6.62","7","5.62B","15.71B","44.14B","2.38 - 3.95"
"ABG","Asbury Automotive Group Inc","171.3","165.7","167.7","192,000","1.7","","1.04","Consumer Durables","Automotive Aftermarket","7.92","0.82","7.69","N/A","4.05","0.2","326.10M","20.85M","3.60B","135.60 - 230.97"
"ABM","ABM Industries Inc","46.70","45.35","45.94","551,900","0.18","","0.39","Finance","Diversified Commercial Services","165.2","4.42","0.26","1.61","2.44","0.52","192.60M","65.03M","2.96B","36.31 - 55.48"
"ABR","Arbor Realty Trust","18.00","17.46","17.49","1,676,200","-0.40","","2.24","Consumer Services","Real Estate Investment Trusts","7.58","1.17","1.09","8.72","0.87","1.79","N/A","61.35M","1.11B","13.48 - 20.74"
"ABR-D","Arbor Realty Trust Inc","25.21","25.07","25.18","9,900","-0.02","","0.08","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ABR-E","Arbor Realty Trust Inc","25.24","24.98","25.06","6,900","-0.09","","0.35","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ABR-F","Arbor Realty Trust Inc","25.30","25.24","25.26","21,400","-0.03","","0.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ABT","Abbott Laboratories","136.0","132.0","132.9","8,111,100","-3.0","","2.22","Consumer Durables","Major Pharmaceuticals","77.55","1.87","0.71","1.91","3.05","4.08","5.14B","1.74B","233.45B","105.32 - 134.08"
"AC","Associated Capital Group Inc","41.12","38.52","41.12","7,000","1.66","","4.21","","","N/A","N/A","N/A","0.54","0.99","27.67","N/A","23.86M","930.69M","30.21 - 44.67"
"ACA","Arcosa Inc","55.41","53.83","53.89","216,800","-0.85","","1.55","Finance","Diversified Investments","N/A","0.22","N/A","N/A","N/A","N/A","N/A","35.34M","1.95B","48.18 - 68.46"
"ACA.U","Athena Consumer Acquisition Corp","10.14","10.14","10.14","30,700","0.02","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACA.W","Athena Consumer Acquisition Corp","0.6054","0.5501","0.5501","25,100","-0.0399","","6.76","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACC","American Campus Communities Inc","55.55","54.01","54.71","911,700","-0.33","","0.60","Consumer Services","Real Estate Investment Trusts","86.94","3.01","0.48","4.22","1.6","7.36","379.78M","136.41M","7.42B","40.01 - 55.55"
"ACCO","Acco Brands Corp","8.260","7.965","8.010","666,300","-0.100","","1.23","","","26","1.18","0.5","N/A","1.98","0.82","256.30M","108.81M","895.53M","7.72 - 9.77"
"ACD.U","Ascendant Digital Acquisition Corp III","10.07","10.07","10.07","7,300","-0.03","","0.30","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACEL","Accel Entertainment Inc","13.14","12.74","12.77","268,500","-0.08","","0.62","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8.82 - 14.10"
"ACH","Aluminum Corp of China Ltd ADR","13.02","12.59","12.83","149,400","-0.41","","3.10","Basic Industries","Aluminum","81.08","N/A","0.25","N/A","2.22","0.45","2.06B","595.95M","8.18B","7.57 - 23.90"
"ACH.W","Archer Aviation Inc WT [Achr.W]","1.500","1.370","1.390","142,500","0.040","","2.96","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACHR","Archer Aviation Inc","7.480","6.885","6.960","1,779,800","-0.200","","2.79","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACI","Albertsons Companies Inc Cl A","31.28","29.72","30.25","3,533,100","-1.07","","3.42","Energy","Coal Mining","N/A","N/A","N/A","N/A","N/A","0.0063","373.00M","21.29M","653.46M","14.83 - 37.85"
"ACI.S","Atlas Crest Investment Corp II [Acii.U]","9.960","9.960","9.960","300","-0.030","","0.30","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACI.T","Atlas Crest Investment Corp II WT","0.8500","0.8302","0.8500","5,000","-0.0093","","1.08","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACII","Atlas Crest Investment Corp II Cl A","9.771","9.771","9.771","394,800","-0.009","","0.09","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACM","Aecom Technology Corp","74.07","72.93","73.28","785,200","-0.18","","0.25","Consumer Services","Military/Government/Technical","21.57","20.15","1.63","N/A","1.48","0.31","790.46M","156.68M","11.44B","46.61 - 75.94"
"ACN","Accenture Plc","375.8","366.5","369.7","2,469,600","-8.0","","2.12","Miscellaneous","Business Services","26.33","2.24","5.44","1.87","9.8","2.52","5.94B","617.53M","234.32B","241.73 - 374.92"
"ACP","Aberdeen Income Credit Strategies","10.31","10.12","10.31","170,800","0.11","","1.08","Finance","Property Management","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.88 - 12.67"
"ACP-A","Aberdeen Income Credit Strategies Fund","26.98","26.81","26.96","3,300","0.02","","0.07","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACR","Acres Commercial Realty Corp","13.07","12.54","12.59","86,500","0.16","","1.29","Consumer Durables","Long-Term Care Facilities","11","N/A","2.17","N/A","N/A","N/A","N/A","35.27K","475.10K","0.00 - 0.00"
"ACR-C","Acres Commercial Realty Corp Pfd","25.48","25.42","25.42","2,700","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ACR-D","Acres Commercial Realty Corp","25.19","25.08","25.13","9,100","0.03","","0.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
