"","code","name","high","low","close","volume","change","direction","price","sector","industry","pe_ratio","peg_ratio","eps","divyield","ptb","pts","ebitda","shares","market_cap","52wk_range"
"1","A","Agilent Technologies","156.3","154.1","156.3","1,444,665","1.7","","1.07","Capital Goods","Electrical Products","35.05","2.73","1.94","0.78","4.73","4.96","1.02B","321.76M","50.28B","112.47 - 179.57"
"2","AA","Alcoa Corp","50.08","47.84","48.80","5,122,653","-1.18","","2.36","Capital Goods","Metal Fabrications","54.51","N/A","0.88","1.25","1.52","0.87","1.60B","184.30M","8.99B","17.30 - 57.57"
"3","AAC","Ares Acquisition Corp Cl A","9.790","9.780","9.790","9,785","0.010","","0.10","","","N/A","0.82","N/A","N/A","1.2","0.75","30.06M","24.06M","235.54M","0.32 - 3.64"
"4","AAC.U","Ares Acquisition Corp Units","10.000","9.980","9.990","26,348","0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"5","AAC.W","Ares Acquisition Corp WT","1.100","0.980","1.060","29,199","0.010","","0.93","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"6","AAI-B","Arlington Asset Investment Corp","24.95","24.92","24.95","1,479","0.04","","0.15","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20.81 - 25.50"
"7","AAI-C","Arlington Asset Investment Corp","25.58","25.48","25.50","1,444","0.00","","0.01","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20.50 - 25.96"
"8","AAIC","Arlington Asset Investment Corp","3.720","3.680","3.690","111,642","-0.010","","0.27","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3.50 - 4.42"
"9","AAIN","Arlington Asset Investment Corp 6.000%","24.75","24.63","24.66","3,654","0.01","","0.04","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"10","AAN","Aarons Holdings Company","24.62","23.98","24.35","209,448","-0.03","","0.12","Technology","Diversified Commercial Services","20.11","1.38","1.95","0.26","1.94","0.93","477.02M","70.77M","1.72B","16.20 - 37.49"
